,subject,complexity,outcome,target
0,2001,baseline,s,51
1,2001,static_red,s,51
2,2001,dynamic_red,s,39
3,2001,static_red_smoke,f,38
4,2001,dynamic_red_smoke,s,39
5,2002,baseline,f,40
6,2002,static_red,s,40
7,2002,dynamic_red,s,40
8,2002,static_red_smoke,s,38
9,2002,dynamic_red_smoke,f,51
10,2003,baseline,s,39
11,2003,static_red,s,51
12,2003,dynamic_red,s,40
13,2003,static_red_smoke,s,40
14,2003,dynamic_red_smoke,s,38
15,2004,baseline,s,51
16,2004,static_red,s,40
17,2004,dynamic_red,s,51
18,2004,static_red_smoke,s,38
19,2004,dynamic_red_smoke,s,39
20,2005,baseline,s,39
21,2005,static_red,f,40
22,2005,dynamic_red,f,38
23,2005,static_red_smoke,f,38
24,2005,dynamic_red_smoke,s,39
25,2007,baseline,s,40
26,2007,static_red,s,51
27,2007,dynamic_red,s,51
28,2007,static_red_smoke,s,40
29,2007,dynamic_red_smoke,s,39
30,2008,baseline,s,51
31,2008,static_red,s,51
32,2008,dynamic_red,s,35
33,2008,static_red_smoke,s,39
34,2008,dynamic_red_smoke,s,51
35,2009,baseline,s,40
36,2009,static_red,s,38
37,2009,dynamic_red,f,51
38,2009,static_red_smoke,s,38
39,2009,dynamic_red_smoke,s,51
40,2011,baseline,s,40
41,2011,static_red,s,51
42,2011,dynamic_red,s,38
43,2011,static_red_smoke,s,38
44,2011,dynamic_red_smoke,s,51
45,2012,baseline,s,51
46,2012,static_red,s,38
47,2012,dynamic_red,s,51
48,2012,static_red_smoke,s,38
49,2012,dynamic_red_smoke,s,51
50,2013,baseline,s,38
51,2013,static_red,s,39
52,2013,dynamic_red,f,38
53,2013,static_red_smoke,s,40
54,2013,dynamic_red_smoke,s,40
55,2014,baseline,s,38
56,2014,static_red,s,39
57,2014,dynamic_red,f,40
58,2014,static_red_smoke,s,51
59,2014,dynamic_red_smoke,s,39
60,2015,baseline,s,51
61,2015,static_red,s,51
62,2015,dynamic_red,s,51
63,2015,static_red_smoke,s,38
64,2015,dynamic_red_smoke,s,40
65,2017,baseline,s,39
66,2017,static_red,s,39
67,2017,dynamic_red,s,38
68,2017,static_red_smoke,f,40
69,2017,dynamic_red_smoke,s,51
70,2018,baseline,s,38
71,2018,static_red,s,39
72,2018,dynamic_red,s,40
73,2018,static_red_smoke,s,40
74,2018,dynamic_red_smoke,f,38
75,2020,baseline,s,39
76,2020,static_red,s,51
77,2020,dynamic_red,s,38
78,2020,static_red_smoke,f,39
79,2020,dynamic_red_smoke,s,38